,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,PL_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2003-01-07,8579,5107,1272,1312,6538,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE ,612.4000244140625,0.6091619069821658,-5226,,3835,,,,,0.011103833314629385,
2003-01-14,8899,5739,1275,806,6716,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE ,619.2000122070312,0.6641195639959546,-5910,-7.9729572211213435,4464,7.3318568597738665,0.09093326243020473,0.09053321927573424,0.011103833314629385,0.023094295075994697,
2003-01-21,8575,5638,1179,633,6394,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE ,633.5,0.6718367346938775,-5761,1.6743454320710192,4459,-0.05618608832453084,0.0704425786253024,0.028898342379345753,0.023094295075994697,0.02067873020668909,
2003-01-28,8649,5623,1182,681,6546,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE ,646.5999755859375,0.6781130766562609,-5865,-1.2128279883381923,4441,-0.2099125364431487,0.027674000276740003,0.002645113886847906,0.02067873020668909,0.04546864448521015,
2003-02-04,8678,5212,1150,937,6561,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE ,676.0,0.6480755934547131,-5624,2.7864493004971673,4062,-4.38200948086484,0.03614297145905575,0.06963219113486326,0.04546864448521015,-0.010355029585798814,
2003-02-11,8568,5294,1161,948,6470,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE ,669.0,0.6444911297852475,-5522,1.175386033648306,4133,0.818160866559115,0.013750337018064168,0.014407436096049574,-0.010355029585798814,0.00014944033772423815,
2003-02-25,7552,4269,1066,1143,5523,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE ,669.0999755859375,0.579978813559322,-4380,13.328664799253035,3203,-10.854341736694678,0.1713171317131713,0.2099343955014058,0.00014944033772423815,0.017785121578642205,
2003-03-04,8288,4376,1018,1437,6172,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE ,681.0,0.571307915057915,-4735,-4.700741525423728,3358,2.0524364406779663,0.12393218556972006,0.028735632183908046,0.017785121578642205,0.020117492227652356,
2003-03-11,9202,5185,1074,1313,6806,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE ,694.7000122070312,0.5969354488154749,-5493,-9.145752895752896,4111,9.08542471042471,0.09336125138563862,0.13820099057357405,0.020117492227652356,-0.011515761997159535,
2003-03-18,9022,4755,1027,1411,6219,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE ,686.7000122070312,0.5329195300376857,-4808,7.44403390567268,3728,-4.162138665507499,0.08977719528178243,0.0824974057419578,-0.011515761997159535,-0.07485076962335346,
2003-03-25,6714,2437,829,2266,4479,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE ,635.2999877929688,0.32960977062853736,-2213,28.763023719796056,1608,-23.49811571713589,0.38472942920681985,0.7703612982241274,-0.07485076962335346,0.010703585587325204,
2003-04-01,6341,2313,771,2570,4750,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE ,642.0999755859375,0.34379435420280713,-2180,0.49151027703306527,1542,-0.9830205540661305,0.07855191256830601,0.05901426718547341,0.010703585587325204,-0.02009027233980909,
2003-04-08,6634,2349,366,2838,5472,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE ,629.2000122070312,0.3970455230630087,-2634,-7.159753982021763,1983,6.954739000157704,0.11913357400722022,0.16243093922651933,-0.02009027233980909,0.005403628914405489,
2003-04-15,6230,1922,355,2910,5189,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE ,632.5999755859375,0.36581059390048154,-2279,5.351220982815797,1567,-6.270726560144708,0.04383257192245956,0.19235836627140976,0.005403628914405489,0.02861213613599789,
2003-04-22,6200,1885,337,2891,5010,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE ,650.7000122070312,0.3417741935483871,-2119,2.568218298555377,1548,-0.30497592295345105,0.02506011897228199,0.024752475247524754,0.02861213613599789,-0.08698330345671712,
2003-04-29,6302,2134,430,2993,4882,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE ,594.0999755859375,0.2997461123452872,-1889,3.7096774193548385,1704,2.5161290322580645,0.029206349206349208,0.13338533541341654,-0.08698330345671712,0.03888240627902917,
2003-05-06,6275,2177,686,2660,4661,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE ,617.2000122070312,0.31888446215139443,-2001,-1.7772135829895273,1491,-3.3798794033640114,0.07567272230569594,0.10443590639189661,0.03888240627902917,0.042935838424952744,
2003-05-13,6454,2713,288,2245,5623,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE ,643.7000122070312,0.5233963433529594,-3378,-21.944223107569723,2425,14.884462151394423,0.1750127097102186,0.3112295901366211,0.042935838424952744,0.03573092988011717,
2003-05-20,6918,3342,91,1741,6183,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE ,666.7000122070312,0.6420930904885805,-4442,-16.48590021691974,3251,12.79826464208243,0.13427561837455831,0.24060588406641423,0.03573092988011717,0.012899318176803787,
2003-05-27,7274,3974,100,1601,6495,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE ,675.2999877929688,0.6728072587297222,-4894,-6.533680254408789,3874,9.005492917028043,0.055830039525691696,0.15733922434953362,0.012899318176803787,-0.034947395250320534,
2003-06-03,6464,3691,54,1187,5712,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE ,651.7000122070312,0.7000309405940595,-4525,5.072862249106406,3637,-3.2581798185317568,0.17350340629076677,0.08785046728971962,-0.034947395250320534,0.0035292124442036776,
2003-06-10,6678,3348,140,1616,5807,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE ,654.0,0.6275831087151842,-4191,5.167079207920792,3208,-6.636757425742575,0.07059140509228075,0.12299311926605505,0.0035292124442036776,0.010856231782778947,
2003-06-17,6583,3247,137,1470,5731,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE ,661.0999755859375,0.6472732796597296,-4261,-1.0482180293501049,3110,-1.4675052410901468,0.030829051520622135,0.030732860520094562,0.010856231782778947,0.018000340120290392,
2003-06-24,7695,3997,155,1514,6323,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE ,673.0,0.6249512670565303,-4809,-8.324472125170896,3842,11.119550356980099,0.08115350261579686,0.18497109826589594,0.018000340120290392,0.011144130757800852,
2003-07-01,6598,3956,73,1177,5779,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE ,680.5,0.697484086086693,-4602,2.690058479532164,3883,0.5328135152696556,0.12665324899367453,0.03052866716306776,0.011144130757800852,-0.009551800146950784,
